initial word,basic form,past simple,future simple,translation,additional meaning,etymology
πρωτευουσα,η πρωτεύουσα,,,capital city,capital,πρώτος (first) + πρωτεύω (to be first/lead)
κατεχόμενα,τα κατεχόμενα,,,occupied territories,,κατά (down/against) + έχω (to have/hold) → to occupy
Μεσόγειος,η Μεσόγειος,,,Mediterranean (Sea),,μέσος (middle) + γη (earth/land)
αμπελωνας,ο αμπελώνας,,,vineyard,,άμπελος (grapevine) + -ώνας (place suffix)
οπωροφορά,οπωροφόρος,,,fruit-bearing,fruit trees (noun),οπώρα (fruit) + φέρω (to bear/carry)
παράγουν,παράγω,παρήγαγα,θα παραγάγω,to produce,"to generate, to manufacture",παρά (from/beside) + άγω (to lead/bring)
εύφορη,εύφορος,,,fertile,"productive, rich (of land)",ευ (well/good) + φέρω (to bear/produce)
πεδιάδα,η πεδιάδα,,,plain (flat land),flatland,Ancient Greek πεδίον (plain/flat land) → πέδον (ground)
θρησκεία,η θρησκεία,,,religion,faith,Ancient Greek θρησκεία (religious observance) → θρήσκος (devout)
έκτακτη ανάγκη,η έκτακτη ανάγκη,,,emergency,state of emergency,έκτακτος (extraordinary) + ανάγκη (necessity) → εκ (out) + τάσσω (to arrange)
Υδατοπρομήθεια,η Υδατοπρομήθεια,,,water supply (authority),,ύδωρ (water) + προμήθεια (supply/provision) → προ (before) + μήδομαι (to plan)
προσωπικός,προσωπικός,,,personal,private,πρόσωπο (face/person) + -ικός (adjective suffix) → προς (toward) + ὤψ (eye/face)
επιχείρηση,η επιχείρηση,,,business,"enterprise, operation",επί (upon) + χείρ (hand) → undertaking
όριο,το όριο,,,limit,"boundary, threshold",Ancient Greek ὅριον (boundary) → ὅρος (boundary/limit)
αναχώρηση,η αναχώρηση,,,departure,,ανά (back) + χωρώ (to move/make way) → χώρος (space)
πώληση,η πώληση,,,sale,,Ancient Greek πωλέω (to sell)
περίπτωση,η περίπτωση,,,"case","situation, instance",περί (around) + πίπτω (to fall)
έθιμο,το έθιμο,,,custom,tradition,Ancient Greek ἔθος (custom/habit)
υποχρεωτική,υποχρεωτικός,,,compulsory,"mandatory, obligatory",υπό (under) + χρέος (debt/duty) + -ικός (adjective suffix)
θητεία,η θητεία,,,"term of service","military service, tenure",Ancient Greek θής (hired laborer/servant) → θητεύω (to serve)
χρεώνω,χρεώνω,χρέωσα,θα χρεώσω,to charge,"to bill, to debit",χρέος (debt) + -ώνω (verb suffix)
ανώτατη,ανώτατος,,,supreme,"highest, maximum",άνω (above) + -τατος (superlative suffix)
παρέχω,παρέχω,παρείχα,θα παρέχω,to provide,"to offer, to supply",παρά (beside) + έχω (to have)
μεταδίδω,μεταδίδω,μετέδωσα,θα μεταδώσω,to transmit,"to broadcast, to spread",μετά (across) + δίδω (to give)
αρμόδιο,αρμόδιος,,,competent,"responsible, in charge",Ancient Greek ἁρμόδιος (fitting) → ἁρμόζω (to fit/join)
συγκεκριμένο,συγκεκριμένος,,,specific,"concrete, particular",συν (together) + κεκριμένος (past participle of κρίνω - to judge/decide) → decided/determined
πάντως,πάντως,,,anyway,"in any case, nevertheless",πᾶς/πάντ- (all/every) + -ως (adverbial suffix) → in every way → at any rate
ανάψω,ανάβω,άναψα,θα ανάψω,to light,"to turn on, to kindle",ανά (up) + Ancient Greek ἅπτω (to fasten/kindle)
καταναλώνω,καταναλώνω,κατανάλωσα,θα καταναλώσω,to consume,"to use up, to expend",κατά (thoroughly/down) + ἀναλίσκω (to use up/consume)
συνολικά,συνολικά,,,in total,"altogether, overall",σύν (together) + ὅλος (whole) → σύνολο (total)
ξεχωριστός,ξεχωριστός,,,separate,"special, distinct",ξε- (out/apart) + χωρίζω (to separate) → χώρος (space/place)
λαμβάνω υπόψιν,λαμβάνω υπόψιν,έλαβα υπόψιν,θα λάβω υπόψιν,to take into consideration,to take into account,λαμβάνω (to take) + υπό (under) + όψη (view/sight) → idiom: to bring under one's sight
έχω υπόψη,έχω υπόψη,είχα υπόψη,θα έχω υπόψη,to bear in mind,"to have in mind, to keep in view",έχω (to have) + υπό (under) + όψη (view/sight) → to hold under one's view
συγκοινωνίες,η συγκοινωνία,,,public transport,"transit services, public transportation",συν (together) + κοινωνία (sharing/fellowship) → κοινός (common/shared)
αστικές συγκοινωνίες,αστικές συγκοινωνίες,,,urban public transport,city transit,αστικός (urban/of the city) + συγκοινωνία (public transport) → άστυ (city)
